date,amount,category,description
20-02-2025,1200,Income,Work
20-02-2025,850,Income,Bonus
27-02-2025,45,Expense,Restaurant
4-03-2025,1000,Income,Work
6-03-2025,800,Expense,Car
10-03-2025,550,Expense,Utilities
29-03-2025,750,Expense,Shopping
30-03-2025,70,Expense,Gas
1-7-2024,1000,Income,Salary
2-7-2024,50,Expense,Groceries
3-7-2024,150,Expense,Utilities
4-7-2024,200,Income,Freelance Work
5-7-2024,75,Expense,Restaurant
6-7-2024,100,Expense,Transport
7-7-2024,500,Income,Bonus
8-7-2024,30,Expense,Snacks
9-7-2024,250,Income,Stock Dividends
10-7-2024,90,Expense,Entertainment
11-7-2024,60,Expense,Coffee
12-7-2024,120,Expense,Gas
13-07-2024,80,Expense,Books
14-07-2024,150,Expense,Clothing
15-07-2024,1100,Income,Salary
16-07-2024,40,Expense,Stationery
17-07-2024,180,Expense,Utilities
18-07-2024,250,Income,Freelance Work
19-07-2024,70,Expense,Restaurant
20-07-2024,130,Expense,Transport
21-07-2024,600,Income,Bonus
22-07-2024,35,Expense,Snacks
23-07-2024,300,Income,Stock Dividends
24-07-2024,100,Expense,Entertainment
25-07-2024,55,Expense,Coffee
26-07-2024,140,Expense,Gas
27-07-2024,90,Expense,Books
28-07-2024,170,Expense,Clothing
29-07-2024,1200,Income,Salary
30-07-2024,45,Expense,Stationery
31-07-2024,190,Expense,Utilities
20-07-2024,124,Expense,Groceries
